R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
85.51;344.51;293.83;335.5;38.68;146.41;23.41;329.69;277.54;344.31;294.28;358.7;345.54;283.31;339.98;40.69;323.62;289.05;319.91;140.89;308.04;315.27;60.73;313.19;296.68;170.86;295.74;31.06;114.41;329.55;69.2;20.43;63.32;334.11;345.28;317.89;57.32;61.06;75.11;287.05;338.68;66.53
85.64;348.07;293.27;334.47;39.49;143.2;22.27;334.81;276.72;346.96;293.91;356.36;347.62;280.09;336.22;42.3;334.9;284.37;313.19;137.88;299.38;314.94;60.73;311.85;332.65;172.39;333.59;35.03;116.72;334.8;75.01;23.24;70.8;335.27;338.69;315.09;60.32;53.81;75.07;285.87;327.32;66.25
81.84;13.9;283.07;325.14;25.25;121.06;297.94;357.02;248.21;44.01;334.14;295.28;57.7;291.37;300.73;36.68;24.23;239.77;304.75;97.61;270.09;313.95;59.57;310.95;99.78;163.18;108.36;40.49;113.9;343.13;82.03;28.24;74.04;335.1;312.89;306.36;60.81;56.76;70.57;286.69;309.41;61.97
76.69;16.92;275.88;322.5;38.24;121.72;345.32;6.79;225.39;21.47;41.07;269.51;27.4;280.16;281.73;28.81;27.23;230.27;298.21;85.41;267.76;311.86;63.26;312.45;98.49;155.75;117.97;53.33;115.82;355.75;89;18;71.51;334.5;302.64;303.11;61.31;53.78;65.48;286.88;313.27;59.84
74.28;13.05;272.53;321.27;43.78;117.42;341.23;8.17;222.53;28.86;40.08;270.98;28.33;276.27;279.66;29.12;32.03;234.4;295.78;90.27;271.14;309.65;67.58;312.24;106.41;156.05;125.13;49.5;122.09;348.97;87.78;10.59;69.45;332.01;302.93;300.96;61.31;54.48;69.42;288.04;335.95;62.39
64.99;306.08;275.89;331.72;62.34;129.7;342.69;26.52;239.01;40.83;9.36;287.04;12.25;247.99;304.35;34.79;21.2;254.48;296.41;119.68;284.92;311.64;70.56;308.54;227.4;163.47;227.58;36.05;134.59;329.82;81.66;4.33;74.99;334.22;318.13;303.58;62.82;56.96;82.5;289.59;5.76;68.45
16.06;253.99;329.82;35.64;64.95;201.37;63.39;49.47;297.66;34.01;279.54;323.43;338.2;250.43;335.13;39.61;349.54;280.11;307.01;139.36;309.75;309.36;73.82;303.66;250.5;165.17;248.58;31.34;134.39;323.66;79.94;353.21;72.5;333.01;328.81;304.49;63.88;53.89;84.74;290.43;10.92;70.57
317.78;327.3;55.75;48.4;326.21;258.8;38.21;13.67;342.73;10.66;258.43;359.67;334.53;254.01;347.16;41.76;357.01;302.32;333.47;148.22;338.9;318.61;52.16;311.66;270.45;154.27;266.78;11.12;129.25;302.38;74.71;349.62;65.4;330.55;336.13;303.18;61.13;51.4;85.41;293;20.56;71.45
333.91;10.27;79.81;39.58;326.46;279.72;36.66;351.2;358.91;348.8;270.8;26.83;333.07;256.76;351.93;42.85;358.5;310.2;342.4;148.97;349.27;324.28;44.97;312.59;276.88;151.61;272.12;7.59;123.9;297.91;73.19;340.55;63.81;328.6;337.65;301.79;60.37;47.74;86.23;294.24;27.87;72.39
335.14;4.43;85.78;39.34;328.1;283.04;36.51;357.15;8.65;353.53;271.08;25.84;333.21;255.17;351.58;44.15;53.1;310.32;341.3;150.39;347.89;324.16;48.79;312.13;276.86;153.49;271.97;7;123.28;296.85;74.31;333.68;64.23;328.74;336.28;300.3;60.89;43.02;87.37;294.48;31.91;73.62
